verð,stærð,fjherb,fjklós,lyfta,fjhæð,fjbílast,fjbkar,fjsturt
20714000,132.0,4,1,0,1,0,1,0
11300000,79.4,2,1,0,1,0,1,0
10937000,143.3,3,1,0,2,0,0,1
22593000,91.4,2,1,2,1,0,1,0
22242000,74.0,2,1,0,1,0,1,0
35236000,102.4,2,1,2,1,1,1,1
24471000,147.7,4,1,0,1,0,1,0
28980000,134.3,3,2,0,1,1,1,0
15191000,74.9,2,1,0,1,0,1,0
19859000,74.0,1,1,0,1,0,0,1
18367000,89.6,2,1,0,1,0,1,0
22240000,75.3,2,1,0,1,0,1,0
20969000,67.5,2,1,0,1,0,1,0
24398000,111.4,2,1,0,1,1,1,0
42940000,184.5,4,2,0,2,0,1,1
20580000,90.0,2,1,1,1,0,1,0
44750000,140.8,3,1,1,1,1,1,1
27500000,99.0,3,1,0,1,0,1,1
15860000,50.0,2,1,0,1,0,1,0
22919000,96.1,3,1,0,1,0,1,0
20974000,117.7,4,2,0,2,0,2,0
12578000,52.6,1,1,0,1,0,1,0
31900000,114.0,3,1,0,1,0,1,0
8100000,37.3,0,1,0,1,0,1,0
14444000,69.3,2,1,0,1,0,1,1
19369000,67.0,1,1,1,1,0,1,0
23171000,97.9,2,1,1,1,0,0,1
35675000,138.9,2,1,1,1,1,0,1
24519000,138.7,3,1,0,2,0,1,0
21289000,70.3,2,1,0,1,1,1,0
21691000,70.3,2,1,0,1,1,0,1
20286000,83.9,2,1,0,1,0,1,0
27596000,162.8,5,2,0,2,1,1,1
43057000,175.7,5,2,0,2,0,1,2
11973000,51.4,2,1,0,1,0,0,1
24924000,106.3,2,1,2,1,1,1,1
39237000,111.1,2,1,3,1,1,1,0
23796000,84.4,2,1,1,1,1,1,1
24766000,94.4,2,1,0,1,0,1,1
25996000,74.9,2,1,1,1,1,0,1
30323000,105.1,2,1,2,1,0,0,1
27763000,106.0,3,1,3,1,1,1,1
19757000,93.4,2,1,0,1,0,1,0
15314000,56.9,1,1,0,1,0,1,0
15493000,58.9,2,1,0,1,0,1,0
14623000,79.1,2,1,1,1,0,1,1
15741000,73.3,2,1,0,1,0,1,0
22993000,91.4,2,1,2,1,1,1,0
36422000,103.9,2,1,1,1,1,1,1
36882000,107.5,2,1,1,1,1,1,1
25175000,96.2,2,1,0,1,0,1,0
28389000,109.5,3,1,1,1,1,1,0
23200000,89.3,2,1,1,1,0,0,1
19583000,77.5,2,1,0,1,0,1,0
21949000,90.6,2,1,0,1,0,0,1
22125000,94.2,2,1,0,1,0,1,0
23411000,102.2,2,1,1,1,1,1,0
11864000,84.7,3,1,0,1,0,1,0
20844000,91.4,3,1,0,1,0,0,1
18016000,51.2,1,1,2,1,0,0,1
25253000,100.3,1,2,3,1,1,0,1
21181000,125.4,3,1,0,2,0,0,1
25694000,103.3,3,1,2,1,0,1,0
35405000,103.9,2,1,1,1,1,1,1
35304000,106.2,2,1,1,1,1,1,1
20362000,88.6,1,1,0,1,0,1,0
25453000,87.0,2,1,0,1,0,1,1
30390000,110.6,2,1,1,1,1,0,1
17493000,51.7,1,1,0,1,0,1,0
12808000,89.9,2,1,0,1,0,1,0
10083000,60.6,1,1,0,1,0,1,0
9821000,56.7,1,1,0,1,0,0,1
12959000,88.3,3,1,0,1,0,1,0
18326000,79.2,3,1,0,1,0,1,0
20000000,73.4,1,1,1,1,0,1,0
22916000,105.6,3,1,0,1,0,1,1
22360000,94.4,2,1,0,1,0,0,1
25200000,87.0,2,1,2,1,1,0,1
17272000,53.9,1,1,0,1,0,0,1
21300000,82.3,2,1,1,1,0,1,0
8818000,39.5,1,1,0,1,0,0,1
25736000,90.2,3,1,0,1,0,1,1
21472000,80.8,1,1,0,1,0,1,0
16026000,55.3,1,1,0,1,0,1,0
58085000,178.3,2,2,2,1,2,0,2
14448000,84.3,2,1,0,1,0,1,0
34156000,100.3,1,1,3,1,1,0,1
