"DateTime","Icelandair Group Verð ","Icelandair Group Magn"
"2016-01-20 18:00:00",33.3,29616287
"2016-01-21 18:00:00",33.95,18600839
"2016-01-22 18:00:00",34.8,18945675
"2016-01-25 18:00:00",34.55,19285500
"2016-01-26 18:00:00",34.8,24211276
"2016-01-27 18:00:00",34.45,6047831
"2016-01-28 18:00:00",34.25,8065150
"2016-01-29 18:00:00",34.35,4675000
"2016-02-01 18:00:00",34.7,14928924
"2016-02-02 18:00:00",34.95,7575343
"2016-02-03 18:00:00",34.6,8661676
"2016-02-04 18:00:00",34.6,5819700
"2016-02-05 18:00:00",34.2,11018041
"2016-02-08 18:00:00",32.9,33456018
"2016-02-09 18:00:00",35.15,92885423
"2016-02-10 18:00:00",35.7,72900674
"2016-02-11 18:00:00",35.15,10913332
"2016-02-12 18:00:00",34.85,22273862
"2016-02-15 18:00:00",34.45,30108135
"2016-02-16 18:00:00",34.55,12204963
"2016-02-17 18:00:00",35.025,24079184
"2016-02-18 18:00:00",34.9,26482704
"2016-02-19 18:00:00",35.05,255700
"2016-02-22 18:00:00",35.3,19010500
"2016-02-23 18:00:00",35.9,24277297
"2016-02-24 18:00:00",35.55,33661991
"2016-02-25 18:00:00",36.05,27975913
"2016-02-26 18:00:00",36.95,28582900
"2016-02-29 18:00:00",37,20296157
"2016-03-01 18:00:00",37.3,19085656
"2016-03-02 18:00:00",37.2,10895516
"2016-03-03 18:00:00",37.375,3468500
"2016-03-04 18:00:00",37.3,4375383
"2016-03-07 18:00:00",37.5,24267867
"2016-03-08 18:00:00",37.65,21232112
"2016-03-09 18:00:00",37.65,7490238
"2016-03-10 18:00:00",37.9,10639621
"2016-03-11 18:00:00",37.35,15177696
"2016-03-14 18:00:00",37.7,6021500
"2016-03-15 18:00:00",38.35,29600733
"2016-03-16 18:00:00",37.75,20033100
"2016-03-17 18:00:00",37.75,13814263
"2016-03-18 18:00:00",37.95,1123795
"2016-03-21 18:00:00",37.75,5879342
"2016-03-22 18:00:00",37.2,14817000
"2016-03-23 18:00:00",37.1,3278060
"2016-03-29 18:00:00",37,1176695
"2016-03-30 18:00:00",37.5,17676105
"2016-03-31 18:00:00",37.55,12201333
"2016-04-01 18:00:00",37.7,5039650
"2016-04-04 18:00:00",37.45,9960600
"2016-04-05 18:00:00",37.2,21768519
"2016-04-06 18:00:00",37.2,20866825
"2016-04-07 18:00:00",37.3,2715959
"2016-04-08 18:00:00",37.8,2913827
"2016-04-11 18:00:00",37.625,9301255
"2016-04-12 18:00:00",37.8,9644307
"2016-04-13 18:00:00",38,20845879
"2016-04-14 18:00:00",38.2,3145209
"2016-04-15 18:00:00",38.4,17276874
"2016-04-18 18:00:00",38.2,6201121
"2016-04-19 18:00:00",38.1,6719295
"2016-04-20 18:00:00",37.95,4780571
"2016-04-22 18:00:00",38.1,16179748
"2016-04-25 18:00:00",38.15,2979552
"2016-04-26 18:00:00",38.3,9119200
"2016-04-27 18:00:00",38.5,29674783
"2016-04-28 18:00:00",38.9,27621595
"2016-04-29 18:00:00",36,102258124
"2016-05-02 18:00:00",34.75,44013845
"2016-05-03 18:00:00",35.45,43374260
"2016-05-04 18:00:00",35.85,29689176
"2016-05-06 18:00:00",36.4,27312308
"2016-05-09 18:00:00",36.3,3792347
"2016-05-10 18:00:00",35.6,8066892
"2016-05-11 18:00:00",34.95,10669550
"2016-05-12 18:00:00",34.9,36257940
"2016-05-13 18:00:00",34.65,5348098
"2016-05-17 18:00:00",33.7,28026006
"2016-05-18 18:00:00",33.3,39704593
"2016-05-19 18:00:00",32.95,20322898
"2016-05-20 18:00:00",32.55,31344388
"2016-05-23 18:00:00",33,47688725
"2016-05-24 18:00:00",33.4,22107470
"2016-05-25 18:00:00",32.75,18871495
"2016-05-26 18:00:00",32.7,5346798
"2016-05-27 18:00:00",32.75,10523078
"2016-05-30 18:00:00",33.2,36022500
"2016-05-31 18:00:00",33.2,13089657
"2016-06-01 18:00:00",32.6,9301680
"2016-06-02 18:00:00",32.35,8891775
"2016-06-03 18:00:00",31.9,20457727
"2016-06-06 18:00:00",31.05,26386027
"2016-06-07 18:00:00",31.8,11834901
"2016-06-08 18:00:00",30.85,32374410
"2016-06-09 18:00:00",31,5173727
"2016-06-10 18:00:00",31.3,26478516
"2016-06-13 18:00:00",31,3365109
"2016-06-14 18:00:00",31.1,2717534
"2016-06-15 18:00:00",31.75,7517548
"2016-06-16 18:00:00",32.3,24113913
"2016-06-20 18:00:00",32.65,13712258
"2016-06-21 18:00:00",32.85,12666588
"2016-06-22 18:00:00",32.6,5219286
"2016-06-23 18:00:00",33,8548700
"2016-06-24 18:00:00",31,21783236
"2016-06-27 18:00:00",29.85,33788744
"2016-06-28 18:00:00",31,9509049
"2016-06-29 18:00:00",31,13376082
"2016-06-30 18:00:00",31.25,2858374
"2016-07-01 18:00:00",31.35,8080938
"2016-07-04 18:00:00",31,9059056
"2016-07-05 18:00:00",31.3,5402471
"2016-07-06 18:00:00",30.6,19147973
"2016-07-07 18:00:00",30.75,8379487
"2016-07-08 18:00:00",31.1,4441500
"2016-07-11 18:00:00",31.8,10486876
"2016-07-12 18:00:00",32.05,25377500
"2016-07-13 18:00:00",32.7,30452587
"2016-07-14 18:00:00",32.9,5483530
"2016-07-15 18:00:00",32.8,3593494
"2016-07-18 18:00:00",32.8,1427391
"2016-07-19 18:00:00",32.3,6151000
"2016-07-20 18:00:00",32.45,7988768
"2016-07-21 18:00:00",31.9,11089200
"2016-07-22 18:00:00",31.55,6136300
"2016-07-25 18:00:00",31.45,4361000
"2016-07-26 18:00:00",30.8,17748927
"2016-07-27 18:00:00",30.35,8120900
"2016-07-28 18:00:00",27.9,45143525
"2016-07-29 18:00:00",27.45,21051342
